case,scene,split,state,seed,task_id,obj,slot,frame,measured,readout,vx,vy,vx_readout,vy_readout
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,1,2.5,0.005739402995786168,-1.8512075357147095,-0.004087219856296542,0.004029315152024537,3.87806357188418,1.7335041066559929
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,2,6.5,1.603738197209154,1.3223974002239154,1.603335348101541,0.035943938512320986,2.0033244566185044,1.236519996385242
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,2,6.5,0.017446929766668364,-1.8606709833702988,0.016594018616046924,0.005388311837054971,2.595347706501067,1.897914772125731
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,3,10.5,7.5032843477952715,5.668514924467458,7.503269462228104,0.014945938066784948,8.924896136927346,0.9690865395484525
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,3,10.5,0.0072315570138810825,-1.705333138924809,-0.0009635255948751365,0.0071670799683715815,4.590730444582761,1.4209469732295448
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,4,14.5,4.145162849487775,2.4967118030760953,4.144727221357675,0.060094170352022046,3.3906303930234847,0.9062857009473277
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,4,14.5,2.49646879147583,1.5105104775937699,2.4796029087889337,-0.2896995711737418,3.444780081924617,-1.6369638605999302
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,5,18.5,3.2081887827140436,-0.404070467224809,3.2075632408928643,0.063350779040843,6.384141303704688,0.5840098340493123
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,5,18.5,3.5340624733603376,2.9947295121241275,3.5100060233940895,-0.4116494641694544,7.125705454070294,0.31753130388474937
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,6,22.5,3.2954696192898676,1.1499240047653507,3.2925810260465824,-0.1379499857939095,5.506979961798638,0.868639910180472
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,6,22.5,3.793915612066005,3.127490929065716,3.764507851277517,-0.4714618851488467,6.330019805422817,-0.7389435344839506
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,7,26.5,3.296589687660896,0.9870347687818257,3.286855228565264,-0.25315267181159695,6.223855588358462,1.0046462491876698
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,7,26.5,4.144821901465998,4.41766596230137,4.128889517944458,-0.3630701633026206,7.373409479732049,0.0032220267976230677
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,8,30.5,3.142822258901677,0.8388770458510018,3.134733291163843,-0.22534183880704858,5.7960346556891675,0.8098734655488691
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,8,30.5,3.8960339081144686,3.7281251358139915,3.876787776874335,-0.3867773859152749,5.931818626175802,-0.16951914261399215
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,9,34.5,2.7631000537478014,0.03437486131388834,2.749409363003269,-0.27471814947516576,5.722353898355551,0.4869949203473892
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,9,34.5,3.8048693281717534,3.6717829436856504,3.7920293446391953,-0.31232043458186354,6.077469918733997,0.3768954681372535
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,10,38.5,1.9793064627638548,-1.191245667754739,1.9622784509065696,-0.2590701732088746,4.446709973269454,0.17568760721968357
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,10,38.5,3.548155724533609,2.712503810198225,3.5253184582037873,-0.40191891444455907,6.589246393160804,-0.7329501500335414
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,11,42.5,1.1311306750044914,-1.5430491399860555,1.114498116734285,-0.19326290831882034,3.261989452401708,-0.1761690274469221
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,11,42.5,3.545213462556718,3.777031552316631,3.5362785596053756,-0.25154014385128676,7.020965835474038,-0.6798477812556847
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,12,46.5,0.13954929285833706,-2.0873086894569957,0.13893674282237498,-0.013060881714920924,3.0813288639334955,-0.4818410669843849
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,1,12,46.5,3.6684098597433774,3.1498158918490162,3.6599359162657947,-0.24919869158983374,6.79533207748026,0.7728688010834479
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,1,2.5,0.021368637606056316,-1.0485411962423044,0.021241973197425067,0.0023231977571526842,2.279544095836301,0.04728004087400439
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,1,2.5,0.002373711243245562,-1.842596651627999,-0.002373012417501741,-5.7594554368733954e-05,4.406251749940089,1.9335457412970154
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,2,6.5,1.6349978496430007,1.3679151815797161,1.6331457452847757,0.07780066192179902,4.672365965164872,1.5119923543243026
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,2,6.5,0.008408854954058369,-2.193892041521684,-0.0027083072478944815,0.007960773422814782,3.1410943685125923,1.9872184127629404
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,3,10.5,7.707660679685203,6.9817793600286535,7.707642542132521,-0.016721120605188843,11.294371601861403,0.6342660419163247
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,3,10.5,0.06069743631635953,-2.734317110709827,-0.01956532822873669,0.0574576079094868,6.214404097848009,1.3123693971690915
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,4,14.5,3.8116001366213803,1.68954660537754,3.8114971743869317,0.02801590856212215,3.2936104151602192,0.2709455915541715
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,4,14.5,4.765670228495953,2.856060647815778,4.765507852691508,0.03933996324656164,4.110891209488729,-1.2677777393800471
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,5,18.5,3.115428787355616,-0.44760612024877666,3.115303755604896,-0.027911277256964694,7.244192704506708,1.1194705027283576
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,5,18.5,4.085325172537878,1.8743845623291264,4.085316765694074,-0.008287901456833424,7.797954859101591,0.6844837834462605
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,6,22.5,2.9153673065571852,1.0649761805266,2.9149360333001595,-0.050144330794501,5.988005038781585,0.5815977954292939
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,6,22.5,3.506800036493065,3.1897251115823373,3.506724778039211,0.02297448657990344,7.255166273712219,-0.21803242726675465
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,7,26.5,3.067387466326521,1.807576958103251,3.06489356075308,-0.12366620327049986,7.269822015499727,0.6750043653417394
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,7,26.5,3.5261123217081938,3.1509707300099388,3.526084710597979,0.013954174626746862,8.224073704673382,-0.24965002707950812
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,8,30.5,3.103243427604163,1.0530852355689269,3.1031316285694404,0.026341350390782736,7.221726490960058,0.7885909917470755
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,8,30.5,3.4042873120316854,3.260613876497839,3.4041142587041575,-0.03432515909594258,7.262427664101855,0.23960384667709267
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,9,34.5,2.7065715460542137,0.48995363511631673,2.706053177754143,-0.052969171005429416,7.71126454095648,0.6891886871586996
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,9,34.5,3.1668639479943086,2.510549910012258,3.166805647270121,0.01921607462953716,7.138516384573687,0.41039269641958087
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,10,38.5,2.5346997150873496,-0.1268588896463534,2.5338431659551133,-0.0658897261070365,6.372596953583799,1.1204057175016995
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,10,38.5,2.6963240171086778,1.6251395168922937,2.6954088051586496,-0.07024655372542839,7.325144325392462,-0.9831895627106282
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,11,42.5,2.1709614246698288,0.3144776079396294,2.1709416691786148,-0.009261556479521005,6.022506648510479,0.4590650009024245
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,11,42.5,2.382791540588505,2.357675654581559,2.3826412230887173,-0.026764303436561932,6.463841256489022,-0.485308201962835
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,0,12,46.5,2.2479500268521173,0.09510425614002394,2.2478967726309294,-0.01547329376334119,5.151789867412875,-0.11974939440977295
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,137,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s137,1,12,46.5,2.363252713284671,1.9472968707393057,2.362172112270696,-0.0714583715036838,7.34070340150823,0.037074753412378314
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,1,2.5,2.1121860075587544,2.092653082191014,-2.110283094348938,-0.08963811818675822,-0.950407314192627,-1.2155918845619627
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,1,2.5,0.017927412811505776,-1.798699934788818,-0.004774660874545589,-0.01727989420243148,3.727782836575221,1.3170046824953114
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,2,6.5,3.785619847044812,1.4080976941799546,3.781611441842119,-0.17416236467261115,0.9074502509350992,1.243392011949764
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,2,6.5,0.012127151337441272,-1.8884758875810084,0.005075573386352517,0.011013916395222622,1.4707601754423472,1.0998693359528149
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,3,10.5,5.768190679124683,3.321467239930975,5.764734606484103,-0.1996462560266309,6.672315286636884,0.39283528717535277
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,3,10.5,0.004964768857943802,-2.1612981595326977,0.004681317261679396,0.001653541202483666,2.901550463010768,1.0640385252729523
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,4,14.5,4.539540595637206,3.7305344136355685,4.539328784696795,-0.043852067925217855,5.701123104121486,-3.5849408605931625
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,4,14.5,0.5721536455398096,-1.86514322654914,0.5705817379866858,0.04238247728233091,1.0774044947380874,-0.5420160567797856
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,5,18.5,2.498869549832068,-1.4679724215930614,2.497746470875927,-0.0749105753867525,5.56305112667506,0.7259515186087839
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,5,18.5,0.9787658540047327,-3.937482248010853,0.9746911047533331,-0.08921797621746919,3.6858322206182734,2.1565316193425774
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,6,22.5,1.6193212348783488,-1.0607018764736589,1.6184209913163385,-0.05398848575928241,2.058813042566839,0.7455509924749858
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,6,22.5,1.0178432737189667,-0.02570144905593086,1.017786254408793,0.010773587678352214,4.741156845923344,0.16387404925833104
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,7,26.5,1.3915452570503066,-0.6783880373430726,1.391494789162016,-0.011851335543337883,2.7099491271866354,0.9594787612249056
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,7,26.5,1.0857609469181901,0.7448737356142612,1.0854670934271327,-0.025259115969038248,4.548499855539322,0.028904623365251236
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,8,30.5,1.2324391541606274,-1.1670809535084175,1.2318873443288338,-0.03687600290996897,3.448020190275642,0.2935444585097309
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,8,30.5,1.147323272640606,0.6070652871395814,1.1385705613659638,-0.1414488201914196,2.8338911525385244,-0.687781901871269
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,9,34.5,1.1749307524215382,-1.8470835981065363,1.1749168979273237,-0.005705782214272403,3.7405648751160143,1.3441626575933259
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,9,34.5,1.1328719372587426,0.11483374818593184,1.1302360201908415,-0.07723577468727853,3.0927088327252314,0.9685327078076247
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,10,38.5,1.0549601148739214,-1.8154333255067456,1.0498026395003535,0.1041885889763762,2.5546532261605917,0.594286640086665
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,10,38.5,0.9381097469437482,-0.021659554766201516,0.9377490118019522,0.026013230774458405,3.9911653196674024,-1.0808677931861759
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,11,42.5,0.7967645293126618,-1.4504300614250996,0.7910492603103421,0.09526165510470719,2.210103101203016,0.1112179766413044
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,11,42.5,0.8064437326706883,0.3746247491128969,0.8063910483506106,0.009217977209550554,4.274918082670439,-0.5186507278090908
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,0,12,46.5,1.0094080256809541,-1.4624310007111463,1.0064822318272035,-0.07679895393332573,0.9103469014729825,0.47277019775110163
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,509,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s509,1,12,46.5,0.8938491511516704,0.7763189247699964,0.8936488770102187,0.018920613968282395,2.076643136620367,0.838557724049363
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,0,1,2.5,0.08706871260411188,-1.0275953457011138,0.07385365452217911,-0.04611505641605618,1.4105954566211902,-1.0733794448355982
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,1,1,2.5,0.0032537399352596556,-2.201887540223991,0.001045641259770491,-0.0030811455535513232,3.6088858681469516,1.3324394460589613
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,0,2,6.5,0.6247841681322819,-1.051512121236497,0.6234905824220277,0.04018395674629573,2.310117936095911,1.4509217290765142
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,1,2,6.5,0.0057011047946760275,-2.1519212703643857,0.004012273129887944,0.0040502173041772945,2.495573848723735,1.2347390441751118
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,0,3,10.5,4.7197373928031645,5.2822820965019925,4.702603822717174,-0.40179390686050737,10.75155991191283,-0.29835450188624923
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,1,3,10.5,0.003833909100701845,-2.360921688458853,-0.0015344692211101574,0.0035134403654979,4.37560069158386,0.9955839097593118
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,0,4,14.5,3.514751832910672,2.2095931050830293,3.514418954943699,-0.048372058891141025,4.113175526429686,-1.5309409326714647
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,1,4,14.5,0.05333521893889039,-1.2355225004236088,0.05275488789286555,-0.007846488556708664,3.6969315121091837,-0.4581523331091306
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,0,5,18.5,1.357024483761693,-2.8968336464674813,1.355941026757955,-0.054216062963587316,3.5874431422665696,3.199082382611466
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,1,5,18.5,2.372553805093034,-0.505088539755568,2.3715128838423425,0.07027232621175017,6.836795650192325,-0.7729652975401722
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,2027,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s2027,0,6,22.5,1.8396366793019026,-0.027814919800807303,1.839415648640329,0.02851637021096849,4.832685214272472,0.625480140884309
